"filename", "language", "TypeScript", "JSON", "TypeScript JSX", "Markdown", "JSON with Comments", "SCSS", "CSS", "JavaScript", "HTML", "comment", "blank", "total"
"c:\Users\Admin\Desktop\mifi_ifib_v2\src\entities\mainVideoResponse.ts", "TypeScript", 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 6
"c:\Users\Admin\Desktop\mifi_ifib_v2\src\entities\podcastResponse.ts", "TypeScript", 17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 20
"c:\Users\Admin\Desktop\mifi_ifib_v2\src\entities\progressStatisticsResponse.tsx", "TypeScript JSX", 0, 0, 12, 0, 0, 0, 0, 0, 0, 0, 3, 15
"c:\Users\Admin\Desktop\mifi_ifib_v2\src\entities\questResponse.ts", "TypeScript", 20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 23
"c:\Users\Admin\Desktop\mifi_ifib_v2\src\entities\questTasksResponse.ts", "TypeScript", 32, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 37
"c:\Users\Admin\Desktop\mifi_ifib_v2\src\entities\registrationResponse.ts", "TypeScript", 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 7
"c:\Users\Admin\Desktop\mifi_ifib_v2\src\entities\teamMembersResponse.ts", "TypeScript", 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 8
"c:\Users\Admin\Desktop\mifi_ifib_v2\src\entities\termResponse.ts", "TypeScript", 13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 16
"c:\Users\Admin\Desktop\mifi_ifib_v2\src\entities\userRankResponse.ts", "TypeScript", 21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 25
"c:\Users\Admin\Desktop\mifi_ifib_v2\src\entities\videoResponse.ts", "TypeScript", 18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 21
"c:\Users\Admin\Desktop\mifi_ifib_v2\src\hooks\AuthProvider.tsx", "TypeScript JSX", 0, 0, 47, 0, 0, 0, 0, 0, 0, 0, 10, 57
"c:\Users\Admin\Desktop\mifi_ifib_v2\src\hooks\ScrollToTop.tsx", "TypeScript JSX", 0, 0, 10, 0, 0, 0, 0, 0, 0, 0, 5, 15
"c:\Users\Admin\Desktop\mifi_ifib_v2\src\hooks\keys.ts", "TypeScript", 19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 22
"c:\Users\Admin\Desktop\mifi_ifib_v2\src\hooks\useArticleAsMark.tsx", "TypeScript JSX", 0, 0, 12, 0, 0, 0, 0, 0, 0, 0, 2, 14
"c:\Users\Admin\Desktop\mifi_ifib_v2\src\hooks\useArticleAsRead.tsx", "TypeScript JSX", 0, 0, 12, 0, 0, 0, 0, 0, 0, 0, 2, 14
"c:\Users\Admin\Desktop\mifi_ifib_v2\src\hooks\useArticles.ts", "TypeScript", 13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 18
"c:\Users\Admin\Desktop\mifi_ifib_v2\src\hooks\useCurrentUser.tsx", "TypeScript JSX", 0, 0, 13, 0, 0, 0, 0, 0, 0, 0, 3, 16
"c:\Users\Admin\Desktop\mifi_ifib_v2\src\hooks\useEditUser.tsx", "TypeScript JSX", 0, 0, 23, 0, 0, 0, 0, 0, 0, 0, 3, 26
"c:\Users\Admin\Desktop\mifi_ifib_v2\src\hooks\useEquipments.ts", "TypeScript", 22, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 28
"c:\Users\Admin\Desktop\mifi_ifib_v2\src\hooks\useFeedback.tsx", "TypeScript JSX", 0, 0, 20, 0, 0, 0, 0, 0, 0, 0, 3, 23
"c:\Users\Admin\Desktop\mifi_ifib_v2\src\hooks\useLogin.ts", "TypeScript", 17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 19
"c:\Users\Admin\Desktop\mifi_ifib_v2\src\hooks\useMainVideo.ts", "TypeScript", 13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 18
"c:\Users\Admin\Desktop\mifi_ifib_v2\src\hooks\usePodcastAsViewed.tsx", "TypeScript JSX", 0, 0, 10, 0, 0, 0, 0, 0, 0, 0, 1, 11
"c:\Users\Admin\Desktop\mifi_ifib_v2\src\hooks\usePodcasts.tsx", "TypeScript JSX", 0, 0, 13, 0, 0, 0, 0, 0, 0, 0, 3, 16
"c:\Users\Admin\Desktop\mifi_ifib_v2\src\hooks\useProgressStatistics.tsx", "TypeScript JSX", 0, 0, 13, 0, 0, 0, 0, 0, 0, 0, 3, 16
"c:\Users\Admin\Desktop\mifi_ifib_v2\src\hooks\useQuestTasks.tsx", "TypeScript JSX", 0, 0, 54, 0, 0, 0, 0, 0, 0, 0, 6, 60
"c:\Users\Admin\Desktop\mifi_ifib_v2\src\hooks\useQuests.tsx", "TypeScript JSX", 0, 0, 25, 0, 0, 0, 0, 0, 0, 0, 3, 28
"c:\Users\Admin\Desktop\mifi_ifib_v2\src\hooks\useRegistration.ts", "TypeScript", 58, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 63
"c:\Users\Admin\Desktop\mifi_ifib_v2\src\hooks\useTeamMembers.ts", "TypeScript", 13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 18
"c:\Users\Admin\Desktop\mifi_ifib_v2\src\hooks\useTerms.ts", "TypeScript", 28, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 33
"c:\Users\Admin\Desktop\mifi_ifib_v2\src\hooks\useUserRanks.tsx", "TypeScript JSX", 0, 0, 13, 0, 0, 0, 0, 0, 0, 0, 3, 16
"c:\Users\Admin\Desktop\mifi_ifib_v2\src\hooks\useVideoAsMark.tsx", "TypeScript JSX", 0, 0, 12, 0, 0, 0, 0, 0, 0, 0, 2, 14
"c:\Users\Admin\Desktop\mifi_ifib_v2\src\hooks\useVideoAsRead.tsx", "TypeScript JSX", 0, 0, 12, 0, 0, 0, 0, 0, 0, 0, 2, 14
"c:\Users\Admin\Desktop\mifi_ifib_v2\src\hooks\useVideos.ts", "TypeScript", 12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 15
"c:\Users\Admin\Desktop\mifi_ifib_v2\src\main.tsx", "TypeScript JSX", 0, 0, 104, 0, 0, 0, 0, 0, 0, 4, 35, 143
"c:\Users\Admin\Desktop\mifi_ifib_v2\src\pages\ArticleDetailsPage\ArticleDetailsPage.module.scss", "SCSS", 0, 0, 0, 0, 0, 101, 0, 0, 0, 0, 22, 123
